inventory_row_id	raw_reported_form	paper_ids	disposition	verification_state	verified_expansion_if_supported	collision_ids	alias_collision_state	source_local_scope	PINN_type_eligibility	raw_parenthetical_text
PT4D-0135	NS-PINN	551	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0136	HTE-PINN	552	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0137	opPINN	553	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0138	CAN-PINN	554	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0139	PI-rCNN	558	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0140	PI-RS-LSTM	559	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0141	PISSA-CNN-LSTM	561	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0142	PID-GAN	562	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0143	PIX-GAN	564	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0144	PIST-CNN	567	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0145	NRPINN	574	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0146	MetaPINNs	581	training_or_adaptivity_strategy_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0147	IPINNs	581	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C004	same_form_homograph	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0148	PI-DNN	583	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0149	TL-PINN	586,592	training_or_adaptivity_strategy_not_yet_a_type	needs_primary_source_verification			none_registered	multi_paper_candidate_not_canonical	conditional_method_dimension_candidate	
PT4D-0150	mfPINN	588	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0151	PIRNN	589,699	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification		C013	adjacent_concept_non_equivalence	multi_paper_candidate_not_canonical	conditional_method_dimension_candidate	
PT4D-0152	Causal PINN	593	training_or_adaptivity_strategy_not_yet_a_type	supported_by_raw_source_supplied_expansion			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0153	SVD-PINN	595	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0154	composite PINN	602	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0155	Taylor PINN	607	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0156	SWPINN	609	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0157	GaborPINN	611	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
