inventory_row_id	raw_reported_form	paper_ids	disposition	verification_state	verified_expansion_if_supported	collision_ids	alias_collision_state	source_local_scope	PINN_type_eligibility	raw_parenthetical_text
PT4D-0001	PINN	2,3,4,7,8,11,13,14,17,22,23,24,25,26,27,29,30,31,32,33,35,36,39,40,42,47,50,56,58,61,62,65,66,67,68,69,70,72,73,74,75,76,77,80,81,83,84,85,86,87,90,94,95,98,99,108,124,132,134,137,138,139,140,142,144,149,150,151,154,157,158,159,160,162,163,164,165,168,172,176,186,188,196,199,203,204,208,233,234,236,237,239,241,243,244,245,248,252,255,257,260,264,265,266,268,269,270,271,272,275,277,279,280,281,285,287,292,293,294,297,298,299,300,302,303,304,308,310,315,317,319,320,323,324,326,327,328,329,330,331,332,333,334,336,338,339,340,341,344,346,347,349,350,351,353,354,362,364,365,367,370,373,374,375,381,384,385,386,387,388,391,392,393,396,403,406,411,412,414,415,418,420,421,422,424,425,426,428,429,431,432,435,436,438,439,444,445,447,450,473,477,478,479,480,481,482,483,484,485,486,487,488,489,493,495,496,497,498,500,501,503,506,510,512,513,517,520,525,526,527,528,529,533,534,535,536,540,547,566,568,569,570,571,573,574,575,576,578,579,580,581,583,584,585,606,634,637,655,661,663,667,668,671,676,678,679,682,684,687,688,689,690,691,695,697,701,702,703,704,705,709,712,713,714,717,719,720,721,722,723,725,728,729,730,731,732,733,734,735,737,739,741,745,751,752,753,754,755,756,757,758,759,766,777,780,785,786,787,788,789,790,795,797,800,806,814,816,819,821,822,823,826,833,835,836,837,838,839,840,841,842,843,844,845,846,848,849,850,851,852	validated_core_PINN_family_candidate	verified_from_current_Atlas_meaning_map	Physics-informed neural network	C007;C015;C027;C028	hard_no_merge;adjacent_concept_non_equivalence;adjacent_concept_non_equivalence;adjacent_concept_non_equivalence	paper_scoped_or_unresolved	eligible_verified_candidate	
PT4D-0002	B-PINN	3,22,72,84,144,367,410,482,495,536	validated_PINN_variant_candidate	verified_from_primary_source		C003	scoped_alias_candidate	multi_paper_candidate_not_canonical	eligible_verified_candidate	
PT4D-0003	cPINN	3,29,150,172,482,495,503,517,628,733,791	validated_PINN_variant_candidate	verified_from_primary_source		C001;C022	hard_no_merge;hard_no_merge	paper_scoped_or_unresolved	eligible_verified_candidate	
PT4D-0004	XPINN	3,29,84,143,150,172,384,482,495,503,612,647,733	validated_PINN_variant_candidate	verified_from_current_Atlas_meaning_map			none_registered	multi_paper_candidate_not_canonical	eligible_verified_candidate	
PT4D-0005	PPINN	3,172,367,413,482,495,503	validated_PINN_variant_candidate	verified_from_current_Atlas_meaning_map		C009	source_scoped_meaning_only	paper_scoped_or_unresolved	eligible_verified_candidate	
PT4D-0006	VPINN	3,29,84,150,367,493,636,637	validated_PINN_variant_candidate	verified_from_current_Atlas_meaning_map			none_registered	multi_paper_candidate_not_canonical	eligible_verified_candidate	
PT4D-0007	SA-PINN	3,482,495,541,543,544	training_or_adaptivity_strategy_not_yet_a_type	verified_from_current_Atlas_meaning_map		C011	scoped_alias_candidate	multi_paper_candidate_not_canonical	conditional_method_dimension_candidate	
PT4D-0008	DAE-PINN	3,604	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	multi_paper_candidate_not_canonical	eligible_unverified_candidate	
PT4D-0009	fPINN	3,87,367,463,470,495	validated_PINN_variant_candidate	verified_from_current_Atlas_meaning_map		C010	scoped_alias_candidate	multi_paper_candidate_not_canonical	eligible_verified_candidate	
PT4D-0010	Meta-PINN	3,572,574,576,579	training_or_adaptivity_strategy_not_yet_a_type	verified_from_current_Atlas_meaning_map			none_registered	multi_paper_candidate_not_canonical	conditional_method_dimension_candidate	
PT4D-0011	GPT-PINN	3,578	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	multi_paper_candidate_not_canonical	eligible_unverified_candidate	
PT4D-0012	HWPINN	3,609	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C019	hard_no_merge	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0013	TSO-PINN	3	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0014	PI-VEGAN	3	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0015	E-PINN	3,291,659	ambiguous_or_homographic_abbreviation	unresolved_collision		C006	case_sensitive_non_equivalence	paper_scoped_or_unresolved	conditional_collision_candidate	
PT4D-0016	FBPINN	3,29	decomposition_or_time_marching_strategy_not_yet_a_type	needs_primary_source_verification			none_registered	multi_paper_candidate_not_canonical	conditional_method_dimension_candidate	
PT4D-0017	tpPINN	3	decomposition_or_time_marching_strategy_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0018	PINN-RANS	3,545	equation_or_application_specific_PINN_name	needs_primary_source_verification		C027	adjacent_concept_non_equivalence	multi_paper_candidate_not_canonical	conditional_source_specialization_candidate	
PT4D-0019	PINN-Euler	3,545	equation_or_application_specific_PINN_name	needs_primary_source_verification		C027	adjacent_concept_non_equivalence	multi_paper_candidate_not_canonical	conditional_source_specialization_candidate	
PT4D-0020	DD-PINN	3,548,651,740	ambiguous_or_homographic_abbreviation	unresolved_collision		C002;C023;C026	same_form_homograph;hard_no_merge;hard_no_merge	paper_scoped_or_unresolved	conditional_collision_candidate	
PT4D-0021	BL-PINN	3,650	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	multi_paper_candidate_not_canonical	eligible_unverified_candidate	
PT4D-0022	Gated-PINN	3,652	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C024	hard_no_merge	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0023	HP-VPINN	3	alias_or_orthographic_variant_candidate	needs_primary_source_verification		C008	orthographic_candidate_unresolved	single_paper_candidate	conditional_alias_candidate	
PT4D-0024	DO-PINN	3	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0025	PIKAN	3,29,150,262	architecture_or_backbone_coupled_not_yet_a_type	verified_from_current_Atlas_meaning_map		C012	adjacent_concept_non_equivalence	multi_paper_candidate_not_canonical	conditional_method_dimension_candidate	
PT4D-0026	PI-LSTM	8,14,332,359,376,557	architecture_or_backbone_coupled_not_yet_a_type	verified_from_current_Atlas_meaning_map		C013	adjacent_concept_non_equivalence	multi_paper_candidate_not_canonical	conditional_method_dimension_candidate	
PT4D-0027	TransformerPINN	22	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0028	MTL-PINN	26	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C020	case_sensitive_non_equivalence	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0029	mp-PINN	31	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C020	case_sensitive_non_equivalence	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0030	Hybrid-PINN	32	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0031	PINNI	33	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0032	VS-PINN	61	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0033	KKT-hPINN	61	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C019	hard_no_merge	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0034	AL-PINN	61	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0035	iPINN	66	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C004	same_form_homograph	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0036	TSPINN	72	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0037	UPINN	78,224	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	multi_paper_candidate_not_canonical	eligible_unverified_candidate	
PT4D-0038	BPINN	78,616,617,618	validated_PINN_variant_candidate	verified_from_current_Atlas_meaning_map		C003	scoped_alias_candidate	multi_paper_candidate_not_canonical	eligible_verified_candidate	
PT4D-0039	GPINN	78	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C024	hard_no_merge	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0040	SFM-PINN	83	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0041	SPINN	84,367,495,506,609	ambiguous_or_homographic_abbreviation	unresolved_collision		C005	case_sensitive_non_equivalence	paper_scoped_or_unresolved	conditional_collision_candidate	
PT4D-0042	BC-PINN	110	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0043	EMPINN	118	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0044	PILSTM-AWA	142	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0045	PILSTM	142,177,556	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification		C013	adjacent_concept_non_equivalence	multi_paper_candidate_not_canonical	conditional_method_dimension_candidate	
PT4D-0046	PINNs-MPF	143	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0047	sPINN	150	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C005	case_sensitive_non_equivalence	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0048	BatteryPINN	173	equation_or_application_specific_PINN_name	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_source_specialization_candidate	
PT4D-0049	Fc-PINN	174	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0050	CNN-PINN	174,251	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification		C018	same_form_homograph	paper_scoped_or_unresolved	conditional_method_dimension_candidate	
