inventory_row_id	raw_reported_form	paper_ids	occurrence_count	candidate_selected_for_task_4_1b	task4_1b_disposition	verification_state	collision_ids	collision_decision_states	abbreviation_registry_candidate_state	raw_parenthetical_text
AR4D-0337	Conditional PINN	613	1	true	architecture_or_backbone_coupled_not_yet_a_type	supported_by_raw_source_supplied_expansion			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0338	PI-INN	619	1	true	broader_physics_informed_ML_adjacent	needs_primary_source_verification			pinn_related_or_adjacent_abbreviation_candidate	
AR4D-0339	Physics-Informed Invertible Neural Network	619	1	true	broader_physics_informed_ML_adjacent	needs_primary_source_verification			pinn_related_or_adjacent_abbreviation_candidate	
AR4D-0340	FF-PINN	621,624,775	3	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0341	Fourier Feature PINN	621,624	2	true	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0342	PI-FNO	622	1	true	operator_learning_or_neural_operator_adjacent	supported_by_raw_source_supplied_expansion	C014	adjacent_concept_non_equivalence	pinn_related_or_adjacent_abbreviation_candidate	
AR4D-0343	physics-informed Fourier neural operators	622	1	true	operator_learning_or_neural_operator_adjacent	needs_primary_source_verification			pinn_related_or_adjacent_abbreviation_candidate	
AR4D-0344	PIFON	625	1	true	broader_physics_informed_ML_adjacent	needs_primary_source_verification			pinn_related_or_adjacent_abbreviation_candidate	
AR4D-0345	Physics-Informed Fourier Network	625	1	true	broader_physics_informed_ML_adjacent	needs_primary_source_verification			pinn_related_or_adjacent_abbreviation_candidate	
AR4D-0346	T-phPINN	626	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0347	FMPINN	627	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0348	Fourier-based Mixed PINN	627	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0349	Conservative PINN	628,633,791	3	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0350	Mortar PINN	628	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
