inventory_row_id	raw_reported_form	paper_ids	occurrence_count	candidate_selected_for_task_4_1b	task4_1b_disposition	verification_state	collision_ids	collision_decision_states	abbreviation_registry_candidate_state	raw_parenthetical_text
AR4D-0253	nPINN	495	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0254	PIRBN	495,640,641	3	true	broader_physics_informed_ML_adjacent	needs_primary_source_verification			pinn_related_or_adjacent_abbreviation_candidate	
AR4D-0255	HyperPINN	495	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0256	GCN-PINN	495	1	true	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0257	ModalPINN	495,605	2	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0258	MS-ST-FF-PINN	496	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0259	DBNet	497	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0260	IncNSNet	497	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0261	SDNet	498	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0262	BDPINN	500	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0263	lbPINNs	502	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0264	lbXPINNs	502	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0265	B-PINNs	503	1	true	alias_or_orthographic_variant_candidate	needs_primary_source_verification	C003	scoped_alias_candidate	pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0266	APINN	503,612	2	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification	C021	hard_no_merge	pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0267	RW-PINN	504	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0268	gfPINNs	505	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification	C010	scoped_alias_candidate	pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0269	fPINNs	505	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification	C010	scoped_alias_candidate	pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0270	FO-PINN	506	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
